11;11
11;19
11;27
11;35
11;43
11;51
11;59
11;67
11;163
11;171
11;179
11;187
11;211
11;219
11;227
11;235
19;11
19;43
19;67
19;163
19;187
19;211
19;235
27;11
27;43
27;67
27;163
27;187
27;195
27;203
27;211
27;235
35;11
35;43
35;67
35;163
35;211
35;235
43;11
43;43
43;67
43;163
43;211
43;235
51;11
51;19
51;27
51;35
51;43
51;51
51;59
51;67
51;75
51;83
51;91
51;99
51;107
51;115
51;123
51;131
51;139
51;147
51;155
51;163
51;171
51;179
51;187
51;195
51;203
51;211
51;235
59;11
59;43
59;163
59;187
59;235
67;11
67;43
67;163
67;187
67;235
75;11
75;43
75;51
75;59
75;67
75;163
75;187
75;195
75;203
75;211
75;235
83;11
83;43
83;67
83;163
83;187
83;211
83;235
91;11
91;43
91;67
91;163
91;187
91;211
91;235
99;11
99;19
99;27
99;35
99;43
99;67
99;163
99;171
99;179
99;187
99;211
99;219
99;227
99;235
107;43
107;235
115;43
115;235
123;11
123;19
123;27
123;35
123;43
123;67
123;163
123;171
123;179
123;187
123;211
123;219
123;227
123;235
131;11
131;43
131;67
131;163
131;187
131;211
131;235
139;11
139;43
139;67
139;163
139;187
139;211
139;235
147;11
147;43
147;51
147;59
147;67
147;163
147;187
147;195
147;203
147;211
147;235
155;11
155;43
155;163
155;187
155;235
163;11
163;43
163;163
163;187
163;235
171;11
171;19
171;27
171;35
171;43
171;51
171;59
171;67
171;75
171;83
171;91
171;99
171;107
171;115
171;123
171;131
171;139
171;147
171;155
171;163
171;171
171;179
171;187
171;195
171;203
171;211
171;235
179;11
179;43
179;67
179;163
179;211
179;235
187;11
187;43
187;67
187;163
187;211
187;235
195;11
195;43
195;67
195;163
195;187
195;195
195;203
195;211
195;235
203;11
203;43
203;67
203;163
203;187
203;211
203;235
211;11
211;19
211;27
211;35
211;43
211;51
211;59
211;67
211;163
211;171
211;179
211;187
211;211
211;219
211;227
211;235
